year,rate
"1962",0.02
"1963",1.79
"1964",-0.48
"1965",-1.55
"1966",1.83
"1967",1.33
"1968",-2.68
"1969",-0.93
"1970",0.73
"1971",1.3
"1972",0.32
"1973",17.56
"1974",2.73
"1975",-19.83
"1976",-4.38
"1977",5
"1978",1.71
"1979",-0.79
"1980",4.45
"1981",-0.35
"1982",-4.26
"1983",-2.72
"1984",1.4
"1985",-2.12
"1986",-1.87
"1987",1.91
"1988",1
"1989",0.83
"1990",1.11
"1991",-0.03
"1992",-1.17
"1993",0.03
"1994",0.81
"1995",-1.38
"1996",-0.34
"1997",0.62
"1998",-2.27
"1999",0.29
"2000",1.34
"2001",-0.36
"2002",-1.39
"2003",0.9
"2004",1.15
"2005",-1.23
"2006",0.53
"2007",1.14
"2008",4.53
"2009",-6.03
"2010",2.22
"2011",2.43
"2012",-0.67
"2013",-2.22
"2014",-1.33
"2015",-1.55
"2016",-0.01
"2017",1.11
"2018",-0.14
"2019",0.13
"2020",-0.75
"2021",2.48
"2022",3.82
"2023",-1.3
"2024",-2.45
"2025",-2.45